PeakId,Mass,Start,Stop,RT,MDGC,RT1tr,RT2tr,Area,Height,Width,Area_Percent,SampleFileName,CompoundName,Group,Type,Formula,MF,RMF,Probability,MW,ExactMass,CASNO,NISTNO,ID,Library,OtherDBS,Contributor,TenLargestPeaks,Synonyms,StructureDiagram,SignalToNoiseRatio
1,TIC,5.2996,5.9893,5.7852,TRUE,5.775715,0.568147,2.31E+06,23480,0.6897,1.034724578,20220722_DL_Sh7_1_TBaAc_16eV.lsc,"2-Pentanone, 4-hydroxy-4-methyl-",,0,C6H12O2,740,744,66,116,116.084,123-42-2,62051,273740019,mainlib|replib,"Fine, TSCA, RTECS, EPA, HODOC, NIH, EINECS, IR","D.HENNEBERG, MAX-PLANCK INSTITUTE, MULHEIM, WEST GERMANY",,,,0
2,TIC,5.2996,5.9893,5.7852,TRUE,5.775715,0.568147,2.31E+06,23480,0.6897,1.034724578,20220722_DL_Sh7_1_TBaAc_16eV.lsc,"2-Pentanone, 4-hydroxy-4-methyl-",,0,C6H12O2,724,726,66,116,116.084,123-42-2,233660,274569051,mainlib|replib,"Fine, TSCA, RTECS, EPA, HODOC, NIH, EINECS, IR",Japan AIST/NIMC Database- Spectrum MS-NW-1233,,,,0
3,TIC,5.2996,5.9893,5.7852,TRUE,5.775715,0.568147,2.31E+06,23480,0.6897,1.034724578,20220722_DL_Sh7_1_TBaAc_16eV.lsc,"2-Pentanone, 4-hydroxy-4-methyl-",,0,C6H12O2,720,724,66,116,116.084,123-42-2,249141,274596019,mainlib|replib,"Fine, TSCA, RTECS, EPA, HODOC, NIH, EINECS, IR",TNO Volatile Compounds in Food - Chemical Concepts,,,,0
4,TIC,5.2996,5.9893,5.7852,TRUE,5.775715,0.568147,2.31E+06,23480,0.6897,1.034724578,20220722_DL_Sh7_1_TBaAc_16eV.lsc,"2-Pentanone, 4-hydroxy-4-methyl-",,0,C6H12O2,713,715,66,116,116.084,123-42-2,159868,10142280,mainlib|replib,"Fine, TSCA, RTECS, EPA, HODOC, NIH, EINECS, IR",Chemical Concepts,,,,0
5,TIC,5.9509,6.1041,6.0023,TRUE,5.993138,0.55128,5.05E+05,17639,0.1532,0.225836786,20220722_DL_Sh7_1_TBaAc_16eV.lsc,"2-Pentanone, 4-hydroxy-4-methyl-",,0,C6H12O2,764,764,70,116,116.084,123-42-2,62051,273740019,mainlib|replib,"Fine, TSCA, RTECS, EPA, HODOC, NIH, EINECS, IR","D.HENNEBERG, MAX-PLANCK INSTITUTE, MULHEIM, WEST GERMANY",,,,0
6,TIC,5.9509,6.1041,6.0023,TRUE,5.993138,0.55128,5.05E+05,17639,0.1532,0.225836786,20220722_DL_Sh7_1_TBaAc_16eV.lsc,"2-Pentanone, 4-hydroxy-4-methyl-",,0,C6H12O2,752,752,70,116,116.084,123-42-2,249141,274596019,mainlib|replib,"Fine, TSCA, RTECS, EPA, HODOC, NIH, EINECS, IR",TNO Volatile Compounds in Food - Chemical Concepts,,,,0
7,TIC,5.9509,6.1041,6.0023,TRUE,5.993138,0.55128,5.05E+05,17639,0.1532,0.225836786,20220722_DL_Sh7_1_TBaAc_16eV.lsc,"2-Pentanone, 4-hydroxy-4-methyl-",,0,C6H12O2,735,735,70,116,116.084,123-42-2,233660,274569051,mainlib|replib,"Fine, TSCA, RTECS, EPA, HODOC, NIH, EINECS, IR",Japan AIST/NIMC Database- Spectrum MS-NW-1233,,,,0
8,TIC,5.9509,6.1041,6.0023,TRUE,5.993138,0.55128,5.05E+05,17639,0.1532,0.225836786,20220722_DL_Sh7_1_TBaAc_16eV.lsc,"2-Pentanone, 4-hydroxy-4-methyl-",,0,C6H12O2,730,730,70,116,116.084,123-42-2,159868,10142280,mainlib|replib,"Fine, TSCA, RTECS, EPA, HODOC, NIH, EINECS, IR",Chemical Concepts,,,,0
9,TIC,6.0657,6.219,6.1193,TRUE,6.110292,0.542481,4.71E+05,16081,0.1532,0.210419349,20220722_DL_Sh7_1_TBaAc_16eV.lsc,"2-Pentanone, 4-hydroxy-4-methyl-",,0,C6H12O2,713,719,49,116,116.084,123-42-2,249141,274596019,mainlib|replib,"Fine, TSCA, RTECS, EPA, HODOC, NIH, EINECS, IR",TNO Volatile Compounds in Food - Chemical Concepts,,,,0
10,TIC,6.0657,6.219,6.1193,TRUE,6.110292,0.542481,4.71E+05,16081,0.1532,0.210419349,20220722_DL_Sh7_1_TBaAc_16eV.lsc,"2-Pentanone, 4-hydroxy-4-methyl-",,0,C6H12O2,711,715,49,116,116.084,123-42-2,159868,10142280,mainlib|replib,"Fine, TSCA, RTECS, EPA, HODOC, NIH, EINECS, IR",Chemical Concepts,,,,0
11,TIC,6.0657,6.219,6.1193,TRUE,6.110292,0.542481,4.71E+05,16081,0.1532,0.210419349,20220722_DL_Sh7_1_TBaAc_16eV.lsc,"2-Pentanone, 4-hydroxy-4-methyl-",,0,C6H12O2,709,715,49,116,116.084,123-42-2,62051,273740019,mainlib|replib,"Fine, TSCA, RTECS, EPA, HODOC, NIH, EINECS, IR","D.HENNEBERG, MAX-PLANCK INSTITUTE, MULHEIM, WEST GERMANY",,,,0
12,TIC,6.1806,6.3338,6.234,TRUE,6.225102,0.53291,4.42E+05,14938,0.1532,0.197519409,20220722_DL_Sh7_1_TBaAc_16eV.lsc,"2-Pentanone, 4-hydroxy-4-methyl-",,0,C6H12O2,724,731,34,116,116.084,123-42-2,384022,274623043,mainlib|replib,"Fine, TSCA, RTECS, EPA, HODOC, NIH, EINECS, IR","NIST Mass Spectrometry Data Center, 2010",,,,0
